"short_description","category"
"Page cannot be displayed","Database"
"New laptop request","Database"
"Lotus Notes - Certificate expiry message on logon","Database"
"network connection for Matt Westrick","Database"
"Resolution Settings","Database"
"Resolution Settings","Database"
"Can't get to network file shares","Database"
"My disk is still having issues. Can't delete a file
		","Database"
"Fan error in computer","Database"
"SAP Sales app is not accessible","Database"
"Issue with email","Database"
"Notes - Server not responding/Unable to find path to server","Database"
"setting up email on my iphone","Database"
"missing my home directory","Database"
"eFax is not working","Database"
"Network storage unavailable","Database"
"Unable to access application following Proxy Change","Database"
"Can't open Outlook","Database"
"Faulty BlackBerry - User to request upgrade","Database"
"Client not syncing with server","Database"
"Needs Parallels installed on MAC","Database"
"RDC locked out","Database"
"Your account has been locked...","Database"
"Emails sent but not received from mac","Database"
"Security Card Replacement","Database"
"Faulty Desktop - Hardware","Database"
"Need Oracle 10GR2 installed","Database"
"EMAIL Server Down Again","Database"
"Interface: PS LinuxApp01 (GigabitEthernet)","Database"
"Printing Issues","Database"
"Target problems","Database"
"Terminal Message at Login","Database"
"Printing Issues","Database"
"SAP Procurement","Database"
"Network Drives Disconnected","Database"
"Scanner errors","Database"
"Lost connection to the wireless network
		","Database"
"Faulty BlackBerry - User to request upgrade","Database"
"Faulty Scanner too many pending documents","Database"
"IP phone direct dial not working","Database"
"password reset","Database"
"Unable to email video files","Database"
"New Blackberry Set Up","Database"
"Faulty Laptop","Database"
"Page cannot be displayed","Database"
"Please issue a new Blackberry activation password","Database"
"You are not registered to use the system","Database"
"My PC is busted I need a replacement","Database"
"docking station won't release laptop","Database"
"iPhone - connection to our phone system","Database"
"Emails sent but not received from mac","Database"
"Laptop battery needs to be replaced","Database"
"shared area error message - not affecting anything","Database"
"Threshold breach for Access Live","Database"
"install problem","Database"
"All Phones are Getting Busy Signals","Database"
"Install XP image","Database"
"Laptop carry case is dirty","Database"
"Password Prompt Problem","Database"
"Entourage Not working correctly","Database"
"failed drive that needs replacing","Database"
"Battery dying","Database"
"SAP Financial Accounting application appears to be down","Database"
"Faulty Scanner too many pending documents","Database"
"Routing to oregon mail server","Database"
"I can't get my weather report","Database"
"SAP Procurement","Database"
"Rain is leaking on main DNS Server","Database"
"SAP Sales app is not accessible","Database"
"Need backup drive for Time Machine","Database"
"Needs Parallels installed on MAC","Database"
"Install XP image","Database"
"NEW HIRES","Database"
"Email mailbox almost full","Database"
"Lotus Notes - Certificate expiry message on logon","Database"
"Folder sharing not working","Database"
"RDC locked out","Database"
"Adobe concur issues including opening PDFs from the web","Database"
"Users not receiving e-mails","Database"
"SAP Procurement","Database"
"Phone issues in NY","Database"
"getting kicked off the internet","Database"
"Issue with a web page","Database"
"my PDF docs are all locked from editing","Database"
"Forgot email password","Database"
"Authentication Failure","Database"
"iPhone - connection to our phone system","Database"
"How do I create a sub-folder","Database"
"I can't launch my game anymore","Database"
"I need more memory","Database"
"Page cannot be displayed","Database"
"SAP Financial Accounting application appears to be down","Database"
"Page cannot be displayed","Database"
"Blackberry user unable to receive email","Database"
"Page cannot be displayed","Database"
"Resolution Settings","Database"
"MacBook Troubles","Database"
"Can't read email","Database"
"Unable to email video files","Database"
"Internet - Internet Explorer Error","Database"
"network connection for Matt Westrick","Database"
"Page cannot be displayed","Database"
"Faulty Scanner too many pending documents","Database"
"EMAIL Server Down","Database"
"NEW HIRE IN NY","Database"
"Authentication Failure","Database"
"Laptop battery needs to be replaced","Database"
"Network Drives Disconnected","Database"
"Scanner errors","Database"
"SAP Sales app is not accessible","Database"
"DEVICE-ERR AN ERROR HAS OCCURRED NOTE:- TAPE ERRORS MAY LOCKUP","Database"
"SAP Procurement","Database"
"My PC is busted I need a replacement","Database"
"Faulty Scanner too many pending documents","Database"
"Faulty Desktop","Database"
"my printer is broken","Database"
"Security Card Replacement","Database"
"Blocked mail","Database"
"Stolen Mobile Phone","Database"
"Headset for desk phone","Database"
"Install XP image","Database"
"Shortcuts not working","Database"
"setting up email on my iphone","Database"
"All Phones are Getting Busy Signals","Database"
"Conf call number needed","Database"
"Your account has been locked...","Database"
"computer shut down and won't restart...","Database"
"Client not syncing with server","Database"
"Stolen Mobile Phone","Database"
"iPhone - connection to our phone system","Database"
"You are not registered to use the system","Database"
"Resolution Settings","Database"
"Faulty BlackBerry - User to request upgrade","Database"
"Laptop battery needs to be replaced","Database"
"Exchange server appears to be down...lots of users impacted","Database"
"Need access to sales db for the west","Database"
"Faulty Laptop","Database"
"my phone doesn't ring","Database"
"MacBook Troubles","Database"
"Security Card Replacement","Database"
"Issue with a web page","Database"
"NEW HIRE IN NY","Database"
"Folder sharing not working","Database"
"Forgot email password","Database"
"Faulty Scanner too many pending documents","Database"
"Laptop carry case is dirty","Database"
"Laptop carry case is dirty","Database"
"New Blackberry Set Up","Database"
"Faulty Laptop","Database"
"EMAIL Server Down Again","Database"
"Conf call number needed","Database"
"Emails sent but not received from mac","Database"
"SAP Sales app is not accessible","Database"
"iPhone - connection to our phone system","Database"
"Resolution Settings","Database"
"Fan error in computer","Database"
"shared area error message - not affecting anything","Database"
"My disk is still having issues. Can't delete a file
		","Database"
"EMAIL Server Down Again","Database"
"Can't get to network file shares","Database"
"Forgot email password","Database"
"SAP Sales app is not accessible","Database"
"Shortcuts not working","Database"
"Faulty Laptop","Database"
"Network Drives Disconnected","Database"
"Please issue a new Blackberry activation password","Database"
"RDC locked out","Database"
"Faulty Desktop - Hardware","Database"
"EMAIL Server Down Again","Database"
"Issue with a web page","Database"
"Faulty Scanner too many pending documents","Database"
"Needs Parallels installed on MAC","Database"
"SAP Sales app is not accessible","Database"
"You are not registered to use the system","Database"
"Forgot email password","Database"
"Folder sharing not working","Database"
"Threshold breach for Access Live","Database"
"Needs Parallels installed on MAC","Database"
"I need more memory","Database"
"network connection for Matt Westrick","Database"
"NEW HIRE IN NY","Database"
"My PC is busted I need a replacement","Database"
"Network Drives Disconnected","Database"
"My PC is busted I need a replacement","Database"
"Authentication Failure","Database"
"My disk is still having issues. Can't delete a file
		","Database"
"Adobe concur issues including opening PDFs from the web","Database"
"SAP Sales app is not accessible","Database"
"docking station won't release laptop","Database"
"Client not syncing with server","Database"
"Resolution Settings","Database"
"network connection for Matt Westrick","Database"
"NEW HIRE IN NY","Database"
"You are not registered to use the system","Database"
"Resolution Settings","Database"
"New laptop request","Database"
"You are not registered to use the system","Database"
"Faulty Laptop","Database"
"Fan error in computer","Database"
"SAP Procurement","Database"
"Shortcuts not working","Database"
"My PC is busted I need a replacement","Database"
"Shortcuts not working","Database"
"Need Oracle 10GR2 installed","Database"
"Network storage unavailable","Database"
"NEW HIRE IN NY","Database"
"New Blackberry Set Up","Database"
"Shortcuts not working","Database"
"Page cannot be displayed","Database"
"SAP Sales app is not accessible","Database"
"password reset","Database"
"Forgot email password","Database"
"Network storage unavailable","Database"
"eFax is not working","Database"
"Shortcuts not working","Database"
"Lotus Notes - Certificate expiry message on logon","Database"
"My PC is busted I need a replacement","Database"
"Can't open Outlook","Database"
"getting kicked off the internet","Database"
"password reset","Database"
"Client not syncing with server","Database"
"RDC locked out","Database"
"Rain is leaking on main DNS Server","Database"
"Needs Parallels installed on MAC","Database"
